Episode,Total Reward,Avg Loss,Deployed Nodes,Coverage
171,-25639.059999999994,2.7614653380433334e+23,26.0,100.0
172,-24914.760000000017,3.0961725713476865e+23,30.0,100.0
173,-64542.17000000003,2.965354763101548e+23,66.0,100.0
174,-63888.37000000004,2.7602643528367605e+23,62.0,100.0
175,-39426.360000000015,2.69103001334164e+23,28.0,100.0
176,-56031.240000000034,2.8121340597629845e+23,30.0,100.0
177,-52764.53,2.8698031062916298e+23,57.0,100.0
178,-45443.70000000009,2.8050016559390378e+23,64.0,100.0
179,-43820.53000000001,2.8979182464717407e+23,31.0,100.0
180,-28576.34999999999,2.6586924861426893e+23,37.0,100.0
181,-45152.55,3.2635469885210404e+23,81.0,100.0
182,-30269.82000000002,3.127241867616848e+23,39.0,100.0
183,-32703.549999999996,3.3828876363447754e+23,41.0,100.0
184,-45920.56,3.0902163389323534e+23,39.0,100.0
185,-42733.19000000006,3.19207506625099e+23,45.0,100.0
186,-42913.170000000006,3.2200695833296324e+23,40.0,100.0
187,-63449.48000000019,3.382743828535248e+23,83.0,100.0
188,-44143.24000000008,3.235239010839924e+23,36.0,100.0
189,-45387.57000000015,3.537435331247564e+23,75.0,100.0
190,-28919.57999999999,3.701188984041107e+23,24.0,100.0
191,-57034.910000000156,3.655438419967543e+23,75.0,100.0
192,-34427.97000000001,3.966687306414541e+23,74.0,100.0
193,-40843.06999999996,4.0191583874797626e+23,41.0,100.0
194,-40281.18000000004,3.825122409385189e+23,53.0,100.0
195,-64719.240000000136,3.712955328289622e+23,68.0,100.0
196,-45855.420000000006,3.97685864998124e+23,34.0,100.0
197,-40514.210000000014,4.0347662841634724e+23,81.0,100.0
198,-23750.660000000003,4.1703031761979206e+23,37.0,100.0
199,-58346.080000000016,3.5679709364574885e+23,33.0,100.0
200,-43627.59000000007,3.9682104085795015e+23,62.0,100.0
201,-56082.69000000002,3.660257321911274e+23,56.0,100.0
202,-46462.74000000001,4.401607222585643e+23,30.0,100.0
203,-35716.649999999994,4.094813590751204e+23,37.0,100.0
204,-35131.95,3.745879732335679e+23,50.0,100.0
205,-60208.559999999976,3.710390499465599e+23,57.0,100.0
206,-25282.66000000001,4.489311790919477e+23,40.0,100.0
207,-42167.97000000005,4.26415293870825e+23,50.0,100.0
208,-54360.44000000016,4.20279913795584e+23,81.0,100.0
209,-63138.86000000015,4.163204318417793e+23,76.0,100.0
210,-62000.690000000104,4.1321435846630065e+23,67.0,100.0
211,-38780.38999999998,4.454089513158481e+23,33.0,100.0
212,-36535.76999999999,4.5815591068364636e+23,25.0,100.0
213,-41656.33000000006,4.4767438646862224e+23,64.0,100.0
214,-32548.750000000007,4.3792585726848485e+23,46.0,100.0
215,-31817.579999999947,4.832755032481414e+23,48.0,100.0
216,-46590.44000000001,4.506735957148101e+23,44.0,100.0
217,-74431.79999999993,4.402298752226088e+23,47.0,100.0
218,-44539.520000000106,4.892922996110696e+23,76.0,99.7599
219,-63791.54,4.796868099360554e+23,39.0,100.0
220,-59678.53000000009,4.555993258838947e+23,82.0,99.75
221,-49153.01999999998,4.5045670134378826e+23,30.0,100.0
222,-28263.21000000001,4.819389109118814e+23,29.0,100.0
223,-53312.32000000004,4.804297703878786e+23,87.0,99.75500000000001
224,-40578.710000000014,5.044137599306609e+23,41.0,100.0
225,-54297.610000000015,4.9964116383302197e+23,55.0,100.0
226,-33365.81000000001,4.796186573489172e+23,29.0,100.0
227,-57219.4399999999,4.751943810581476e+23,79.0,100.0
228,-34789.049999999996,5.058410866285914e+23,49.0,100.0
229,-28354.349999999988,5.788467817675298e+23,32.0,100.0
230,-43804.08999999995,5.048674934710617e+23,51.0,100.0
231,-39714.110000000015,4.314137680789417e+23,26.0,100.0
232,-40750.590000000004,5.171023961319324e+23,50.0,100.0
233,-57309.59000000008,4.917847851795444e+23,49.0,100.0
234,-45462.17999999998,5.0435391257117013e+23,46.0,100.0
235,-38650.71000000001,5.609413594512129e+23,25.0,100.0
236,-70942.38,5.154410755313626e+23,81.0,100.0
237,-40638.96000000001,5.678708240480154e+23,35.0,100.0
238,-64796.86000000006,5.0835723249439396e+23,69.0,100.0
239,-60996.60000000009,5.1751572544983686e+23,55.0,100.0
240,-41826.73000000001,5.402571994680775e+23,47.0,100.0
241,-32067.730000000018,5.4122425426576156e+23,35.0,100.0
242,-77864.42,5.087066069366426e+23,79.0,99.265
243,-34515.649999999994,5.093206620113724e+23,33.0,100.0
244,-35368.190000000024,5.58364952269969e+23,37.0,100.0
245,-55040.259999999995,5.0795715949991616e+23,39.0,100.0
246,-39496.70000000001,5.428888510267751e+23,23.0,100.0
247,-48697.640000000014,5.2775144828624935e+23,27.0,100.0
248,-76918.69999999991,4.913243017682164e+23,58.0,100.0
249,-68502.57999999999,5.528633551868889e+23,47.0,100.0
250,-30144.01999999998,4.7830598162590905e+23,39.0,100.0
251,-42387.970000000074,4.9836549162279345e+23,44.0,100.0
252,-56221.73000000013,4.8991292235119775e+23,69.0,100.0
253,-28906.87,5.4454836844226595e+23,35.0,100.0
254,-33828.75000000001,4.438049899043046e+23,35.0,100.0
255,-44896.030000000166,5.464505931182912e+23,78.0,99.5149
256,-54707.85000000005,5.5173726585644905e+23,37.0,100.0
257,-43536.619999999995,5.493208117435302e+23,55.0,100.0
258,-40885.81000000007,5.87239233347921e+23,44.0,100.0
259,-19661.829999999973,5.5980508821201346e+23,33.0,100.0
260,-32714.66,5.670647572928516e+23,31.0,100.0
261,-46371.16000000001,5.635287687940729e+23,57.0,100.0
262,-45829.42000000007,5.956431966918038e+23,36.0,100.0
263,-35777.47000000001,5.427939293579889e+23,24.0,100.0
264,-30478.76999999998,6.428604436913643e+23,30.0,100.0
265,-67956.0600000001,5.616482877487883e+23,79.0,98.5249
266,-30233.660000000003,6.317816542917168e+23,28.0,100.0
267,-47285.65000000002,5.762742968121432e+23,36.0,100.0
268,-26472.0,6.0160938584885625e+23,30.0,100.0
269,-32890.460000000036,5.712430204076971e+23,47.0,100.0
270,-57546.50999999998,5.951583550647405e+23,51.0,100.0
271,-33031.04000000001,5.86736185700195e+23,49.0,100.0
272,-48749.03000000005,5.6882437504190204e+23,41.0,100.0
273,-42297.269999999975,6.425342231904278e+23,28.0,100.0
274,-28790.530000000013,6.091880046527221e+23,43.0,100.0
275,-69123.99999999996,5.287888736979771e+23,43.0,100.0
276,-50875.33000000007,6.528710261776986e+23,53.0,100.0
277,-53329.150000000016,5.7306254909146106e+23,46.0,100.0
278,-46390.96000000008,6.010431665753631e+23,40.0,100.0
279,-38879.67999999998,5.803231414914348e+23,73.0,100.0
280,-19156.039999999997,7.005747068365888e+23,21.0,100.0
281,-60043.560000000034,5.8158739534415745e+23,73.0,100.0
282,-49132.230000000025,6.306556386043538e+23,35.0,100.0
283,-28581.520000000008,5.3768406095342135e+23,41.0,100.0
284,-49971.01000000006,6.711968979887401e+23,45.0,100.0
285,-34446.10000000001,5.750785259942526e+23,31.0,100.0
286,-42259.540000000015,6.692736014188126e+23,50.0,100.0
287,-45148.140000000036,6.576097601068845e+23,39.0,100.0
288,-38706.47000000004,5.9603620395665766e+23,40.0,100.0
289,-35512.65999999999,5.850951986250062e+23,19.0,100.0
290,-70201.4199999999,6.123323897081909e+23,43.0,100.0
291,-57601.280000000035,5.892091967925644e+23,80.0,99.75500000000001
292,-54557.590000000026,6.220793790909742e+23,44.0,100.0
293,-35501.8400000001,6.291611692358401e+23,66.0,100.0
294,-36590.19999999997,6.30602416936042e+23,50.0,100.0
295,-63213.360000000124,6.497415182024078e+23,71.0,100.0
296,-38645.80000000003,6.091475113936751e+23,50.0,100.0
297,-42764.84000000004,6.607687122873516e+23,42.0,100.0
298,-58530.85000000002,6.153182821229657e+23,24.0,100.0
299,-35346.110000000044,6.022289228977555e+23,48.0,100.0
300,-39265.50999999999,6.822435116185187e+23,43.0,100.0
301,-27506.600000000082,6.774267888187361e+23,73.0,100.0
302,-47004.979999999996,7.738472362787926e+23,26.0,100.0
303,-50634.920000000086,6.206435275638505e+23,45.0,100.0
304,-68628.5699999998,6.413294907576857e+23,72.0,100.0
305,-35816.52000000004,6.708293395237315e+23,62.0,100.0
306,-39927.01000000003,7.20369793610736e+23,48.0,100.0
307,-42789.00000000011,7.106197624826118e+23,78.0,100.0
308,-36055.18,6.544135610979581e+23,38.0,100.0
309,-41938.659999999996,5.690150093213694e+23,38.0,100.0
310,-50096.990000000034,6.834540770042946e+23,71.0,100.0
311,-37002.76999999999,7.280327354703334e+23,43.0,100.0
312,-29955.20999999999,7.224587721649971e+23,26.0,100.0
313,-30440.849999999937,6.870543795386258e+23,52.0,100.0
314,-55028.79000000005,7.409605172598039e+23,82.0,99.75500000000001
315,-66104.09999999999,7.239438954600688e+23,46.0,100.0
316,-47465.339999999975,7.325729145675908e+23,53.0,100.0
317,-36464.920000000064,7.436297914152517e+23,44.0,100.0
318,-45145.279999999955,7.648718556226189e+23,46.0,100.0
319,-46926.440000000126,6.908082930918655e+23,63.0,100.0
320,-49817.61,7.17690285081811e+23,40.0,100.0
321,-38800.990000000005,8.198153540432135e+23,41.0,100.0
322,-46491.98000000018,7.296118904338975e+23,77.0,99.7599
323,-56329.979999999996,7.47942734237136e+23,36.0,100.0
324,-41645.810000000005,7.336446009288441e+23,42.0,100.0
325,-43695.26000000003,7.550496093662415e+23,37.0,100.0
326,-35630.010000000046,7.272462008906756e+23,80.0,100.0
327,-33726.05999999999,7.758813805310085e+23,38.0,100.0
328,-54735.79000000003,7.153222093084711e+23,78.0,99.25
329,-30466.30999999999,7.752348367193906e+23,57.0,100.0
330,-35147.02000000005,7.534311982641528e+23,35.0,100.0
331,-33851.75000000004,7.272464367592e+23,63.0,100.0
332,-34450.45999999998,7.084720353014683e+23,72.0,100.0
333,-41548.790000000045,7.71277463400533e+23,67.0,100.0
334,-31987.13999999996,8.637631697853636e+23,34.0,100.0
335,-84275.1599999998,7.52324296259584e+23,57.0,100.0
336,-53791.57000000005,7.283430663656771e+23,46.0,100.0
337,-30851.399999999983,7.334527842695016e+23,41.0,100.0
338,-46488.470000000096,7.794980166318163e+23,50.0,100.0
339,-45931.66000000006,7.361222187696448e+23,60.0,100.0
340,-37808.230000000025,7.480199037309557e+23,40.0,100.0
341,-38433.43000000006,7.486436837475362e+23,63.0,100.0
342,-25415.249999999978,7.324818323806043e+23,36.0,100.0
343,-60426.840000000106,7.375348928384286e+23,62.0,100.0
344,-31029.679999999964,7.491180211966146e+23,45.0,100.0
345,-21061.15999999997,7.607486711151227e+23,49.0,100.0
346,-66732.72000000006,7.955225538477797e+23,62.0,100.0
347,-39630.52999999999,7.46089003405119e+23,71.0,99.265
348,-25769.429999999968,7.255010359899569e+23,39.0,100.0
